STEM,ORIGINAL,TRANSLATED,VALENCE,AROUSAL,DOMINANCE
в поле зрен,insight,в поле зрения,0.613,0.363,0.649
знак,insignia,знаки,0.665,0.282,0.685
незначительн,insignificance,незначительность,0.250,0.216,0.222
намека,insinuate,намекать,0.292,0.635,0.413
пресн,insipid,пресный,0.214,0.250,0.241
настоя,insist,настоять,0.635,0.651,0.688
настойчив,insistence,настойчивость,0.418,0.704,0.645
настаивает на т,insists,настаивает на том,0.490,0.587,0.610
нерастворим,insoluble,нерастворимый,0.439,0.290,0.414
неплатежеспособн,insolvency,неплатежеспособность,0.323,0.431,0.300
несостоятельн,insolvent,несостоятельный,0.230,0.481,0.318
бессонниц,insomnia,бессонница,0.198,0.611,0.373
страдающий бессонниц,insomniac,страдающий бессонницей,0.231,0.367,0.329
осмотрет,inspect,осмотреть,0.479,0.603,0.793
осмотр,inspection,осмотр,0.459,0.630,0.718
инспектор,inspector,инспектор,0.418,0.580,0.852
вдохновен,inspiration,вдохновение,0.938,0.600,0.779
вдохновля,inspirational,вдохновляющие,0.927,0.720,0.810
внуша,inspire,внушать,0.918,0.627,0.759
нестабильн,instability,нестабильность,0.177,0.760,0.353
устанавлива,install,устанавливать,0.630,0.583,0.736
взнос,installment,взнос,0.619,0.396,0.483
мгновен,instant,мгновенное,0.766,0.454,0.554
инстинкт,instinct,инстинкт,0.771,0.602,0.642
инстинктивн,instinctive,инстинктивный,0.752,0.575,0.694
институт,institute,институт,0.604,0.480,0.807
учрежден,institution,учреждение,0.580,0.311,0.790
инструктирова,instruct,инструктировать,0.729,0.490,0.833
проинструктирова,instructed,проинструктированы,0.740,0.388,0.722
инструкц,instruction,инструкция,0.656,0.434,0.736
учебн,instructional,учебный,0.698,0.500,0.773
инструктор,instructor,инструктор,0.771,0.490,0.782
инструмент,instrument,инструмент,0.562,0.537,0.655
инструментальн,instrumental,инструментальный,0.740,0.472,0.647
музыкант,instrumentalist,музыкант,0.656,0.540,0.740
институц,instrumentality,институция,0.637,0.510,0.618
неподчинен,insubordination,неподчинение,0.281,0.775,0.634
невыносим,insufferable,невыносимый,0.220,0.784,0.291
недостаточн,insufficiency,недостаточность,0.115,0.431,0.210
островн,insular,островной,0.531,0.426,0.465
изолирова,insulate,изолировать,0.365,0.358,0.286
изоляц,insulation,изоляция,0.245,0.327,0.264
инсулин,insulin,инсулин,0.429,0.472,0.375
страхован,insurance,страхование,0.714,0.308,0.825
страхова,insure,страховать,0.700,0.415,0.698
восста,insurgent,восставший,0.235,0.735,0.660
непреодолим,insurmountable,непреодолимый,0.620,0.627,0.737
восстан,insurrection,восстание,0.229,0.706,0.582
неповрежден,intact,неповрежденный,0.716,0.212,0.602
нематериальн,intangible,нематериальный,0.525,0.480,0.473
целое числ,integer,целое число,0.573,0.327,0.595
интегра,integral,интеграл,0.590,0.337,0.615
интегрирова,integrate,интегрировать,0.729,0.390,0.700
интеграц,integration,интеграция,0.771,0.480,0.737
интеллект,intellect,интеллект,0.844,0.418,0.870
интеллектуальн,intellectual,интеллектуальной,0.906,0.455,0.845
вразумительн,intelligible,вразумительный,0.635,0.480,0.691
намерева,intend,намереваться,0.562,0.520,0.519
предназнач,intended,предназначена,0.406,0.542,0.587
интенсивн,intense,интенсивный,0.592,0.774,0.679
активизирова,intensify,активизировать,0.604,0.870,0.737
намерен,intent,намерение,0.550,0.481,0.500
межд,inter,между,0.510,0.375,0.466
взаимодействова,interact,взаимодействовать,0.822,0.690,0.759
интерактивн,interactive,интерактивный,0.727,0.811,0.770
посреднича,intercede,посредничать,0.582,0.577,0.630
перехват,intercept,перехват,0.221,0.660,0.676
заступничеств,intercession,заступничество,0.503,0.486,0.598
взаимозаменя,interchangeable,взаимозаменяемый,0.615,0.459,0.526
поменять мест,interchanged,поменять местами,0.396,0.472,0.434
внутренняя связ,intercom,внутренняя связь,0.623,0.429,0.453
взаимозависим,interdependence,взаимозависимость,0.608,0.618,0.639
воспрещен,interdiction,воспрещение,0.337,0.500,0.585
интерес,interest,интерес,0.780,0.667,0.618
заинтересова,interested,заинтересованный,0.750,0.529,0.725
интересн,interesting,интересно,0.927,0.726,0.731
интерфейс,interface,интерфейс,0.643,0.357,0.600
интерференц,interference,интерференция,0.396,0.736,0.357
интерферометр,interferometer,интерферометр,0.510,0.510,0.517
межгалактическ,intergalactic,межгалактический,0.562,0.661,0.741
промежуточн,interim,промежуточный,0.604,0.400,0.524
интерьер,interior,интерьер,0.618,0.157,0.462
вставля,interject,вставлять,0.333,0.648,0.658
неокончательн,interlocutory,неокончательный,0.490,0.500,0.527
интерлюд,interlude,интерлюдия,0.470,0.417,0.377
посредник,intermediary,посредник,0.427,0.510,0.643
погребен,interment,погребение,0.235,0.608,0.346
антракт,intermission,антракт,0.490,0.360,0.402
интерн,intern,интерн,0.459,0.460,0.392
международн,international,Международный,0.800,0.519,0.702
интернет,internet,интернет,0.760,0.462,0.755
интернатур,internship,Интернатура,0.590,0.510,0.482
межстанцион,interoffice,межстанционный,0.439,0.375,0.556
интерполирова,interpolate,интерполировать,0.460,0.490,0.569
интерполяц,interpolation,интерполяция,0.419,0.506,0.528
интерпретирова,interpret,интерпретировать,0.646,0.625,0.673
интерпретац,interpretation,интерпретация,0.677,0.594,0.620
переводчик,interpreter,переводчик,0.708,0.461,0.596
интерпретир,interpretive,интерпретирующий,0.531,0.549,0.595
взаимосвяза,interrelated,взаимосвязаны,0.615,0.469,0.592
допрашива,interrogate,допрашивать,0.323,0.808,0.680
опрос,interrogation,опрос,0.302,0.827,0.657
прерыван,interrupt,прерывание,0.210,0.635,0.509
прерва,interrupted,прерванный,0.281,0.559,0.333
прерыва,interrupting,прерывающий,0.146,0.593,0.509
пересечен,intersection,пересечение,0.344,0.541,0.658
межгосударствен,interstate,межгосударственный,0.520,0.443,0.600
межзвездн,interstellar,межзвездный,0.708,0.702,0.622
интерстициальн,interstitial,интерстициальный,0.333,0.471,0.534
интерва,interval,интервал,0.510,0.284,0.400
вмешив,intervening,вмешиваясь,0.398,0.627,0.442
вмешательств,intervention,вмешательство,0.388,0.696,0.689
интерв,interview,интервью,0.573,0.770,0.619
интервьюер,interviewer,интервьюер,0.552,0.736,0.816
межсетевое взаимодейств,interworking,межсетевое взаимодействие,0.552,0.587,0.691
умерший без завещан,intestate,умерший без завещания,0.459,0.467,0.415
кишечн,intestinal,кишечный,0.357,0.531,0.370
интимн,intimacy,интимность,0.857,0.802,0.558
тесн,intimately,тесно,0.806,0.573,0.590
указан,intimation,указание,0.406,0.673,0.500
запугива,intimidate,запугивать,0.210,0.804,0.632
запуга,intimidated,запуганы,0.177,0.663,0.208
устрашен,intimidation,устрашение,0.177,0.791,0.644
непереносим,intolerance,непереносимость,0.052,0.704,0.520
интонац,intonation,интонация,0.615,0.442,0.598
опьянен,intoxicated,опьяненный,0.079,0.824,0.246
опьяня,intoxicating,опьяняющий,0.224,0.760,0.464
внутричерепн,intracranial,внутричерепной,0.281,0.602,0.553
неподатлив,intractable,неподатливый,0.154,0.694,0.302
очн,intramural,очный,0.490,0.464,0.447
внутривен,intravenous,внутривенное,0.357,0.538,0.458
в действительн,intrinsically,в действительности,0.459,0.382,0.538
вступлен,intro,вступление,0.510,0.331,0.657
ввод,introduce,вводить,0.592,0.559,0.648
введен,introduction,введение,0.612,0.413,0.640
вводн,introductory,вводный,0.635,0.368,0.593
интроспекц,introspection,интроспекция,0.603,0.337,0.575
интроспективн,introspective,интроспективный,0.552,0.360,0.471
вторга,intrude,вторгаться,0.058,0.735,0.480
нарушител,intruder,нарушитель,0.146,0.740,0.324
вторжен,intrusion,вторжение,0.293,0.641,0.670
назойлив,intrusive,назойливый,0.461,0.607,0.538
интубац,intubation,интубация,0.276,0.598,0.526
интуиц,intuition,интуиция,0.857,0.508,0.602
интуитивн,intuitive,интуитивный,0.771,0.573,0.690
захватчик,invader,захватчик,0.200,0.827,0.618
аннулирова,invalidate,аннулировать,0.315,0.480,0.397
признание недействительн,invalidation,признание недействительным,0.181,0.490,0.278
недействительн,invalidity,недействительность,0.186,0.394,0.158
неоценим,invaluable,неоценимый,0.740,0.500,0.745
выдумыва,invent,выдумывать,0.719,0.689,0.833
изобретательск,inventive,изобретательский,0.780,0.627,0.721
изобретател,inventor,изобретатель,0.781,0.667,0.847
инвентар,inventory,инвентарь,0.594,0.463,0.490
инверс,inversion,инверсия,0.602,0.630,0.772
инвертирова,invert,инвертировать,0.510,0.585,0.706
перевернут,inverted,перевернутый,0.310,0.471,0.357
вкладывать деньг,invest,вкладывать деньги,0.650,0.663,0.682
следствен,investigative,следственный,0.562,0.600,0.704
следовател,investigator,следователь,0.615,0.509,0.779
инвестиц,investment,инвестиции,0.720,0.592,0.745
инвестор,investor,инвестор,0.794,0.655,0.791
возмутительн,invidious,возмутительный,0.112,0.650,0.364
подбадрива,invigorate,подбадривать,0.821,0.798,0.831
непобедим,invincible,непобедимый,0.867,0.853,0.914
невидим,invisibility,невидимость,0.438,0.461,0.382
приглашен,invitation,приглашение,0.802,0.549,0.647
приглаша,invite,приглашать,0.745,0.655,0.611
маня,inviting,манящий,0.938,0.571,0.538
выставленный счет,invoice,выставленный счет,0.480,0.380,0.474
взыва,invoke,взывать,0.583,0.740,0.579
непроизвольн,involuntary,непроизвольный,0.354,0.490,0.231
инволюц,involution,инволюция,0.296,0.420,0.407
участ,involvement,участие,0.760,0.620,0.696
неуязвим,invulnerable,неуязвимый,0.552,0.683,0.745
йод,iodine,йод,0.390,0.265,0.333
ион,ion,ион,0.429,0.330,0.408
йот,iota,йота,0.344,0.385,0.314
радужн,iridescent,радужный,0.602,0.588,0.539
ирис,iris,Ирис,0.708,0.275,0.380
докуча,irks,докучает,0.276,0.781,0.339
броненосец,ironclad,броненосец,0.561,0.648,0.679
ироническ,ironic,иронический,0.435,0.550,0.500
утюг,irons,утюги,0.531,0.441,0.625
ирон,irony,Ирония,0.390,0.587,0.508
облучен,irradiation,облучение,0.385,0.736,0.509
иррациональн,irrational,иррациональный,0.125,0.648,0.394
неприводим,irreducible,неприводимым,0.296,0.455,0.569
неопровержим,irrefutable,неопровержимый,0.496,0.549,0.716
нерегулярн,irregular,нерегулярный,0.312,0.548,0.321
неправильн,irregularity,неправильность,0.104,0.647,0.306
не имеет значен,irrelevant,не имеет значения,0.138,0.311,0.296
непоправим,irreparable,непоправимый,0.061,0.530,0.430
неугомон,irrepressible,неугомонный,0.512,0.566,0.745
безответствен,irresponsible,безответственный,0.177,0.680,0.241
необратим,irreversible,необратимый,0.170,0.541,0.667
безотзывн,irrevocable,безотзывный,0.296,0.560,0.712
ороша,irrigate,орошать,0.272,0.458,0.490
орошен,irrigation,орошение,0.259,0.426,0.426
островок,islet,островок,0.612,0.314,0.367
изоморфизм,isomorphism,изоморфизм,0.448,0.361,0.481
изотермическ,isothermal,изотермический,0.459,0.491,0.500
изотоп,isotope,изотоп,0.429,0.404,0.407
вопрос,issue,вопрос,0.316,0.819,0.351
зуд,itch,зуд,0.319,0.610,0.465
зудя,itching,зудящий,0.208,0.690,0.300
детализирова,itemize,детализировать,0.459,0.527,0.518
предмет,items,Предметы,0.542,0.401,0.434
повторя,iterate,повторять,0.449,0.460,0.440
итерац,iteration,итерация,0.531,0.449,0.486
итеративн,iterative,итеративный,0.429,0.420,0.500
странств,itinerant,странствующий,0.449,0.545,0.439
маршрут,itinerary,маршрут,0.551,0.550,0.454
цвета слоновой к,ivory,цвета слоновой кости,0.625,0.235,0.566
разь,jack,разъем,0.487,0.450,0.441
шака,jackal,шакал,0.333,0.582,0.436
куртк,jacket,куртка,0.656,0.302,0.382
пневмоперфоратор,jackhammer,пневмоперфоратор,0.199,0.690,0.519
куш,jackpot,куш,0.950,0.750,0.786
Jackrabbit,jackrabbit,Jackrabbit,0.625,0.379,0.344
нефр,jade,нефрит,0.604,0.410,0.455
зазубрен,jagged,зазубренный,0.082,0.462,0.213
ягуар,jaguar,ягуар,0.559,0.710,0.654
рецидивист,jailbird,рецидивист,0.240,0.567,0.473
побег из тюрьм,jailbreak,побег из тюрьмы,0.354,0.629,0.471
тюремщик,jailer,тюремщик,0.194,0.630,0.632
драндулет,jalopy,драндулет,0.396,0.436,0.337
варен,jam,варенье,0.510,0.548,0.318
празднеств,jamboree,празднество,0.602,0.625,0.351
зажат,jammed,зажатый,0.235,0.817,0.411
глушител,jammer,Глушитель,0.417,0.540,0.491
дворник,janitor,дворник,0.510,0.350,0.527
япон,japan,Япония,0.667,0.482,0.580
яс,jar,яс,0.430,0.346,0.318
жаргон,jargon,жаргон,0.333,0.548,0.404
крутильный отбойный яс,jarhead,крутильный отбойный яс,0.408,0.530,0.464
жасмин,jasmine,жасмин,0.765,0.230,0.286
джаспер,jasper,Джаспер,0.480,0.425,0.402
желтух,jaundice,желтуха,0.214,0.480,0.355
увеселительная прогулк,jaunt,увеселительная прогулка,0.808,0.451,0.500
яв,java,Ява,0.459,0.321,0.343
челюстная к,jawbone,челюстная кость,0.468,0.413,0.342
сойк,jay,сойка,0.531,0.408,0.389
джаз,jazz,джаз,0.677,0.362,0.450
джазов,jazzy,джазовый,0.725,0.431,0.389
ревнив,jealous,ревнивый,0.173,0.855,0.345
ревност,jealousy,ревность,0.146,0.783,0.481
джинсов,jean,джинсовый,0.602,0.444,0.364
джинс,jeans,джинсы,0.622,0.324,0.371
джип,jeep,джип,0.602,0.510,0.612
глумлен,jeering,глумление,0.266,0.792,0.380
жевательные конфет,jellybean,жевательные конфеты,0.592,0.406,0.399
медуз,jellyfish,медуза,0.531,0.567,0.377
джен,jenny,Дженни,0.542,0.406,0.407
подсудн,jeopardy,подсудность,0.129,0.908,0.536
конвульс,jerks,конвульсии,0.214,0.788,0.395
вяленое мяс,jerky,вяленое мясо,0.233,0.538,0.358
джерс,jersey,Джерси,0.594,0.317,0.411
иисус,jesus,Иисус,0.800,0.400,0.620
реактивный самолет,jet,реактивный самолет,0.612,0.721,0.606
мол,jetty,мол,0.602,0.480,0.453
ювелир,jeweler,ювелир,0.760,0.482,0.500
ювелирные издел,jewelry,Ювелирные изделия,0.823,0.569,0.597
кливер,jib,кливер,0.406,0.420,0.413
миг,jiffy,миг,0.410,0.444,0.380
кондуктор,jig,кондуктор,0.531,0.396,0.357
покачива,jiggle,покачивать,0.592,0.673,0.518
джихад,jihad,джихад,0.323,0.660,0.444
джимм,jimmy,Джимми,0.579,0.321,0.311
звякан,jingle,звяканье,0.635,0.500,0.424
приносить несчаст,jinx,приносить несчастье,0.337,0.582,0.373
пуглив,jittery,пугливый,0.344,0.856,0.255
джайв,jive,джайв,0.561,0.551,0.373
работ,job,работа,0.694,0.541,0.717
джок,jock,Джок,0.592,0.656,0.473
жок,jockey,жокей,0.562,0.644,0.703
бандаж,jockstrap,бандаж,0.347,0.431,0.390
бегать трусц,jog,бегать трусцой,0.510,0.708,0.519
бегущий трусц,jogger,бегущий трусцой,0.417,0.510,0.424
джон,john,Джон,0.562,0.382,0.327
присоедин,join,присоединиться,0.729,0.479,0.684
совместн,joint,совместный,0.615,0.392,0.566
шутк,joke,шутка,0.704,0.610,0.316
джокер,joker,джокер,0.771,0.760,0.416
шуч,joking,шучу,0.776,0.839,0.407
тряст,jolt,трясти,0.365,0.708,0.358
журна,journal,журнал,0.688,0.240,0.352
журналистик,journalism,журналистика,0.622,0.500,0.684
журналист,journalist,журналист,0.542,0.452,0.732
журналистск,journalistic,журналистское,0.696,0.449,0.495
поездк,journey,поездка,0.910,0.702,0.625
рыцарский турнир,joust,рыцарский турнир,0.520,0.528,0.551
радостн,joyful,радостный,0.990,0.740,0.667
увеселительная поездка на автомашине или самолет,joyride,увеселительная поездка на автомашине или самолете,0.694,0.550,0.500
юбил,jubilee,юбилей,0.916,0.500,0.579
судейств,judging,судейство,0.240,0.625,0.693
сужден,judgment,суждение,0.396,0.600,0.816
судебная систем,judiciary,судебная система,0.439,0.740,0.897
рассудительн,judicious,рассудительный,0.630,0.432,0.772
дзюд,judo,дзюдо,0.500,0.790,0.612
кувшин,jug,кувшин,0.520,0.250,0.213
жонглирова,juggle,жонглировать,0.594,0.760,0.426
жонглер,juggler,жонглер,0.633,0.821,0.480
жонглирован,juggling,жонглирование,0.562,0.874,0.346
сок,juice,сок,0.776,0.281,0.352
соковыжималк,juicer,соковыжималка,0.552,0.520,0.564
сочн,juicy,сочный,0.823,0.529,0.490
проигрыватель-автомат,jukebox,проигрыватель-автомат,0.699,0.540,0.429
перемешива,jumble,перемешивать,0.357,0.613,0.331
перемеша,jumbled,перемешанный,0.292,0.602,0.445
прыга,jump,Прыгать,0.625,0.865,0.611
скакалк,jump rope,скакалка,0.656,0.660,0.368
джемпер,jumper,джемпер,0.615,0.336,0.481
комбинезон,jumpsuit,комбинезон,0.562,0.365,0.361
скачущ,jumpy,скачущий,0.353,0.810,0.216
стык,juncture,стык,0.365,0.582,0.491
джунгл,jungle,джунгли,0.500,0.510,0.481
младш,junior,младший,0.635,0.343,0.304
можжевельник,juniper,можжевельник,0.583,0.327,0.352
барахл,junk,барахло,0.115,0.481,0.118
пирова,junket,пировать,0.490,0.519,0.386
хунт,junta,хунта,0.451,0.503,0.704
юридическ,juridical,юридический,0.520,0.431,0.873
юрисдикц,jurisdiction,юрисдикция,0.480,0.580,0.820
юриспруденц,jurisprudence,юриспруденция,0.360,0.425,0.764
юрист,jurist,юрист,0.479,0.523,0.713
присяжн,juror,присяжный,0.582,0.640,0.750
жюр,jury,жюри,0.479,0.607,0.789
обоснован,justification,обоснование,0.622,0.444,0.661
обосновыва,justify,обосновывать,0.612,0.473,0.615
джут,jute,джут,0.551,0.216,0.295
ювенильн,juvenile,ювенильный,0.678,0.490,0.526
соседств,juxtaposition,соседство,0.427,0.500,0.460
кайзер,kaiser,кайзер,0.470,0.509,0.690
листовая капуст,kale,листовая капуста,0.469,0.226,0.411
калейдоскоп,kaleidoscope,калейдоскоп,0.615,0.439,0.580
камикадз,kamikaze,камикадзе,0.204,0.810,0.645
кенгур,kangaroo,кенгуру,0.716,0.333,0.301
кандз,kanji,кандзи,0.510,0.413,0.425
капп,kappa,каппа,0.469,0.375,0.366
караок,karaoke,караоке,0.763,0.649,0.342
каратэ,karate,каратэ,0.562,0.833,0.598
карм,karma,карма,0.500,0.510,0.537
кармическ,karmic,кармическая,0.357,0.459,0.464
каяк,kayak,каяк,0.592,0.600,0.364
каз,kazoo,казу,0.503,0.462,0.411
кебаб,kebab,кебаб,0.531,0.431,0.377
кил,keel,киль,0.344,0.417,0.419
хранител,keeper,хранитель,0.612,0.457,0.773
хранен,keeping,хранение,0.592,0.280,0.723
слащав,keepsake,слащавый,0.740,0.307,0.491
бочонок,keg,бочонок,0.551,0.389,0.404
ламинар,kelp,ламинария,0.479,0.264,0.213
кругозор,ken,кругозор,0.438,0.409,0.360
конур,kennel,конура,0.430,0.480,0.406
косынк,kerchief,косынка,0.520,0.189,0.236
керосин,kerosene,керосин,0.302,0.472,0.427
кетчуп,ketchup,кетчуп,0.653,0.338,0.282
чайник,kettle,чайник,0.357,0.497,0.333
клавиатур,keyboard,клавиатура,0.573,0.279,0.349
замочная скважин,keyhole,замочная скважина,0.438,0.358,0.356
лейтмот,keynote,лейтмотив,0.630,0.431,0.545
замковый камен,keystone,замковый камень,0.573,0.438,0.491
ключевое слов,keyword,ключевое слово,0.602,0.520,0.747
хак,khaki,хаки,0.594,0.252,0.278
хан,khan,хан,0.463,0.476,0.529
дроб,kibble,дробить,0.510,0.458,0.404
кикбоксинг,kickboxing,кикбоксинг,0.427,0.882,0.651
скандалист,kicker,скандалист,0.427,0.711,0.614
пин,kicking,пиная,0.327,0.802,0.510
подать мяч,kickoff,подать мяч,0.583,0.600,0.629
дит,kid,дитя,0.760,0.453,0.298
киддер,kidder,Киддер,0.708,0.768,0.471
ребячеств,kidding,ребячество,0.622,0.625,0.457
малышк,kiddo,малышка,0.674,0.393,0.419
kiddos,kiddos,kiddos,0.500,0.480,0.342
похищен,kidnapped,похищенный,0.044,0.923,0.455
похитител,kidnapper,похититель,0.115,0.906,0.618
похищение люд,kidnapping,похищение людей,0.094,0.880,0.561
почк,kidney,почка,0.448,0.363,0.380
брюзг,killjoy,брюзга,0.178,0.550,0.324
килограмм,kilogram,килограмм,0.510,0.260,0.455
километр,kilometer,километр,0.490,0.439,0.485
юбка в складк,kilt,юбка в складку,0.448,0.346,0.348
кимон,kimono,кимоно,0.643,0.280,0.363
родн,kin,родня,0.543,0.441,0.457
своего род,kind,своего рода,0.918,0.240,0.618
детский сад,kindergarten,детский сад,0.833,0.462,0.308
растопк,kindling,растопка,0.520,0.651,0.421
кинематик,kinematics,кинематика,0.594,0.480,0.614
кинезиолог,kinesiology,кинезиология,0.491,0.480,0.633
кинетическ,kinetic,кинетический,0.582,0.540,0.537
корол,king,король,0.677,0.690,0.892
король зм,king snake,король змей,0.458,0.835,0.647
королевств,kingdom,Королевство,0.714,0.547,0.910
вор в закон,kingpin,вор в законе,0.357,0.626,0.642
перегиб,kink,перегиб,0.337,0.634,0.321
курчав,kinky,курчавый,0.449,0.558,0.361
родств,kinship,родство,0.771,0.300,0.652
киоск,kiosk,киоск,0.500,0.286,0.321
Kirk,kirk,Kirk,0.510,0.390,0.388
поцел,kiss,поцелуй,0.967,0.813,0.630
Kissy,kissy,Kissy,0.874,0.684,0.402
воздушный зм,kite,воздушный змей,0.643,0.500,0.573
котенок,kitten,котенок,0.816,0.343,0.260
кив,kiwi,киви,0.646,0.273,0.282
недотеп,klutz,недотепа,0.275,0.451,0.356
сноровк,knack,сноровка,0.562,0.518,0.820
ранец,knapsack,ранец,0.551,0.317,0.268
мес,knead,месить,0.490,0.457,0.345
наколенник,kneecap,наколенник,0.427,0.360,0.440
становиться на колен,kneel,становиться на колени,0.426,0.417,0.217
стоя на колен,kneeling,стоя на коленях,0.245,0.435,0.144
Knick,knick,Knick,0.480,0.509,0.420
дамские панталон,knickers,дамские панталоны,0.552,0.428,0.328
нож,knife,нож,0.344,0.717,0.573
рыцар,knight,рыцарь,0.780,0.441,0.835
вяза,knit,вязать,0.630,0.144,0.295
постуча,knock,постучать,0.312,0.531,0.527
нокаут,knockout,Нокаут,0.388,0.755,0.664
бугор,knoll,бугор,0.434,0.347,0.333
морской узел,knot,морской узел,0.541,0.221,0.408
узл,knots,узлы,0.418,0.346,0.267
узловат,knotted,узловатый,0.226,0.412,0.294
знан,knowing,знание,0.833,0.353,0.658
осведомлен,knowledgeable,осведомленный,0.865,0.455,0.971
ножк,knuckle,ножка,0.655,0.333,0.393
Knucklehead,knucklehead,Knucklehead,0.157,0.485,0.288
кастет,knuckles,кастет,0.271,0.461,0.320
коа,koala,коала,0.608,0.210,0.311
с закидон,kooky,с закидонами,0.418,0.582,0.366
Kool-Aid,kool-aid,Kool-Aid,0.531,0.318,0.393
кошерн,kosher,кошерный,0.469,0.443,0.312
крис,kris,крис,0.427,0.417,0.407
криптон,kryptonite,криптонит,0.306,0.690,0.588
почет,kudos,почет,0.925,0.587,0.642
кумкват,kumquat,кумкват,0.417,0.426,0.390
лаборатор,lab,лаборатория,0.479,0.500,0.600
метк,label,метка,0.582,0.245,0.423
затруднен,labored,затрудненное,0.646,0.451,0.637
чернорабоч,laborer,чернорабочий,0.561,0.510,0.698
трудя,laboring,трудящийся,0.705,0.644,0.737
трудоемк,laborious,трудоемкий,0.393,0.635,0.709
лабиринт,labyrinth,лабиринт,0.479,0.811,0.491
шнурок,lace,шнурок,0.625,0.200,0.293
разрыван,laceration,разрывание,0.143,0.667,0.443
не хвата,lacking,не хватает,0.229,0.375,0.121
лакросс,lacrosse,лакросс,0.573,0.656,0.509
лактоз,lactose,лактоза,0.479,0.290,0.433
лестниц,ladder,лестница,0.560,0.438,0.358
паренек,laddie,паренек,0.668,0.539,0.391
нагружен,laden,нагруженный,0.392,0.478,0.554
погрузк,lading,погрузка,0.388,0.463,0.409
божья коровк,ladybug,божья коровка,0.602,0.400,0.224
титул лед,ladyship,титул леди,0.561,0.480,0.822
запаздыван,lag,запаздывание,0.220,0.375,0.246
отста,lagging,отстающий,0.135,0.538,0.277
лагун,lagoon,лагуна,0.660,0.231,0.373
логов,lair,логово,0.469,0.438,0.392
мирян,laity,миряне,0.510,0.320,0.487
озер,lake,озеро,0.694,0.196,0.425
ягненок,lamb,ягненок,0.646,0.284,0.321
лам,lame,ламе,0.145,0.410,0.217
стена,lament,стенать,0.198,0.398,0.352
сокруша,lamenting,сокрушаться,0.156,0.390,0.254
тонкая пластинк,lamina,тонкая пластинка,0.510,0.314,0.408
ламинирова,laminated,ламинированный,0.417,0.304,0.373
ламп,lamp,лампа,0.510,0.260,0.309
уличный фонар,lamppost,уличный фонарь,0.420,0.337,0.455
ула,lancer,улан,0.417,0.528,0.519
земельные участк,land,земельные участки,0.582,0.260,0.616
высад,landed,высадился,0.709,0.620,0.480
оползен,landfall,оползень,0.521,0.434,0.407
полигон,landfill,полигон,0.398,0.423,0.324
помещиц,landlady,помещица,0.677,0.303,0.417
суш,landlocked,суша,0.280,0.391,0.367
арендодател,landlord,арендодатель,0.684,0.500,0.858
ориентир,landmark,ориентир,0.694,0.355,0.681
пейзаж,landscape,пейзаж,0.719,0.176,0.423
ландшафтный дизайн,landscaping,ландшафтный дизайн,0.823,0.379,0.519
полоса дорог,lane,полоса дороги,0.449,0.490,0.451
язык,language,язык,0.677,0.337,0.704
томн,languid,томный,0.281,0.270,0.283
том,languish,томиться,0.235,0.408,0.382
долговяз,lanky,долговязый,0.412,0.426,0.370
фонар,lantern,фонарь,0.622,0.250,0.243
болонк,lapdog,болонка,0.388,0.490,0.269
отворот,lapel,отворот,0.460,0.287,0.288
упущен,lapse,упущение,0.420,0.316,0.281
впал,lapsed,впала,0.357,0.333,0.276
портативный компьютер,laptop,портативный компьютер,0.724,0.270,0.519
воровств,larceny,воровство,0.272,0.821,0.454
сал,lard,сало,0.427,0.239,0.179
кладов,larder,кладовая,0.656,0.290,0.509
жаворонок,lark,жаворонок,0.570,0.292,0.352
личинк,larva,личинка,0.245,0.423,0.254
ларинг,laryngitis,ларингит,0.125,0.500,0.370
гортан,larynx,гортань,0.460,0.420,0.402
лазан,lasagna,лазанья,0.719,0.441,0.396
лазер,laser,лазер,0.469,0.531,0.769
плет,lash,плеть,0.235,0.794,0.609
ласс,lasso,лассо,0.438,0.460,0.339
последняя минут,lastminute,Последняя минута,0.418,0.582,0.385
защелк,latch,защелка,0.395,0.263,0.288
поздн,late,поздно,0.245,0.358,0.315
опоздан,lateness,опоздание,0.214,0.388,0.343
боков,lateral,боковая,0.469,0.370,0.322
сбок,laterally,сбоку,0.562,0.255,0.450
латекс,latex,латекс,0.479,0.413,0.325
токарный станок,lathe,токарный станок,0.510,0.450,0.425
намылива,lather,намыливать,0.635,0.327,0.313
широт,latitude,широта,0.562,0.306,0.490
уборн,latrine,уборная,0.380,0.353,0.176
латт,latte,латте,0.615,0.320,0.311
хвалебн,laudatory,хвалебный,0.612,0.417,0.450
смех,laugh,смех,0.980,0.639,0.587
смеющ,laughing,смеющийся,0.906,0.596,0.534
смеет,laughs,смеется,0.812,0.846,0.425
запуск,launch,запуск,0.684,0.814,0.598
пусковая установк,launcher,пусковая установка,0.677,0.745,0.808
катер,launches,катера,0.490,0.663,0.602
отмыва,launder,отмывать,0.479,0.450,0.349
отмыван,laundering,отмывание,0.439,0.327,0.444
прачечн,laundry,прачечная,0.644,0.292,0.377
лауреат,laureate,лауреат,0.724,0.402,0.702
лавр благородн,laurel,лавр благородный,0.646,0.146,0.302
лавр,laurels,лавры,0.684,0.279,0.545
лав,lava,лава,0.280,0.539,0.615
лаваж,lavage,лаваж,0.615,0.467,0.361
лаванд,lavender,лаванда,0.812,0.198,0.388
расточа,lavish,расточать,0.792,0.648,0.730
